go bininfo D:\github\NONO_PHP-memcache-dll checkavx recurse;;;;;;;;;;;;;;;;;
filename;date;x;link;set;cl;bver;pver;fver;pdb;pdb;©;product;company;description;originalname;internalname;copyright
/vc15/x64/nts/avx/php-8.1.x_memcache.dll;22/09/2022 22:04;64;ltcg;avx (211);14.16;8.0.1.0;8.0.1;8.0.1;php-8.1.x_memcache.pdb;OK;OK;php:php_memcache; ;arch:x64-avx vcver:14.16[vc15] commit:96910ce tag:8.0.1 branch:NON_BLOCKING_IO_php8 date:2022-07-29 php:8.1 build:nts;php_memcache.dll;php_memcache.dll;https://github.com/nono303/win-build-scripts
/vc15/x64/nts/avx/php-8.2.x_memcache.dll;24/11/2023 16:58;64;ltcg;avx (226);14.16;8.2.0.0;8.2;8.2.0.0;php-8.2.x_memcache.pdb;OK;OK;php:php_memcache; ;arch:x64-avx vcver:14.16[vc15] php-src:8.2 build:nts commit:972b554 branch:main date:2023-05-04;php_memcache.dll;php_memcache.dll;https://github.com/nono303/win-build-scripts
/vc15/x64/nts/avx/php-8.3.x_memcache.dll;24/11/2023 17:17;64;ltcg;avx (226);14.16;8.2.0.0;8.2;8.2.0.0;php-8.3.x_memcache.pdb;OK;OK;php:php_memcache; ;arch:x64-avx vcver:14.16[vc15] php-src:8.3 build:nts commit:972b554 branch:main date:2023-05-04;php_memcache.dll;php_memcache.dll;https://github.com/nono303/win-build-scripts
/vc15/x64/nts/php-7.1.x_memcache.dll;14/11/2020 19:31;64;ltcg;;14.16;4.0.5.2;7.1;4.0.5.2-4fdcbf9;php-7.1.x_memcache.pdb;OK;KO;pecl-memcache x64 nts [vc15];The PHP Group;NON_BLOCKING_IO_php7 - 4fdcbf9 (2020-09-24);php_memcache.dll;php_memcache.dll;https://github.com/nono303/PHP-memcache-dll
/vc15/x64/nts/php-7.2.x_memcache.dll;06/12/2020 19:18;64;ltcg;;14.16;8.0.0.0;7.2;8.0-36d7181;php-7.2.x_memcache.pdb;OK;KO;pecl-memcache x64 nts [vc15];The PHP Group;NON_BLOCKING_IO_php8 - 36d7181 (2020-12-06);php_memcache.dll;php_memcache.dll;https://github.com/nono303/PHP-memcache-dll
/vc15/x64/nts/php-7.3.x_memcache.dll;06/12/2020 19:10;64;ltcg;;14.16;8.0.0.0;7.3;8.0-36d7181;php-7.3.x_memcache.pdb;OK;KO;pecl-memcache x64 nts [vc15];The PHP Group;NON_BLOCKING_IO_php8 - 36d7181 (2020-12-06);php_memcache.dll;php_memcache.dll;https://github.com/nono303/PHP-memcache-dll
/vc15/x64/nts/php-7.4.x_memcache.dll;06/12/2020 19:01;64;ltcg;;14.16;8.0.0.0;7.4;8.0-36d7181;php-7.4.x_memcache.pdb;OK;KO;pecl-memcache x64 nts [vc15];The PHP Group;NON_BLOCKING_IO_php8 - 36d7181 (2020-12-06);php_memcache.dll;php_memcache.dll;https://github.com/nono303/PHP-memcache-dll
/vc15/x64/nts/php-8.0.x_memcache.dll;22/09/2022 22:50;64;ltcg;;14.16;8.0.1.0;8.0.1;8.0.1;php-8.0.x_memcache.pdb;OK;OK;php:php_memcache; ;arch:x64 vcver:14.16[vc15] commit:96910ce tag:8.0.1 branch:NON_BLOCKING_IO_php8 date:2022-07-29 php:8.0 build:nts;php_memcache.dll;php_memcache.dll;https://github.com/nono303/win-build-scripts
/vc15/x64/nts/php-8.1.x_memcache.dll;22/09/2022 22:04;64;ltcg;;14.16;8.0.1.0;8.0.1;8.0.1;php-8.1.x_memcache.pdb;OK;OK;php:php_memcache; ;arch:x64 vcver:14.16[vc15] commit:96910ce tag:8.0.1 branch:NON_BLOCKING_IO_php8 date:2022-07-29 php:8.1 build:nts;php_memcache.dll;php_memcache.dll;https://github.com/nono303/win-build-scripts
/vc15/x64/nts/php-8.2.x_memcache.dll;24/11/2023 17:00;64;ltcg;;14.16;8.2.0.0;8.2;8.2.0.0;php-8.2.x_memcache.pdb;OK;OK;php:php_memcache; ;arch:x64 vcver:14.16[vc15] php-src:8.2 build:nts commit:972b554 branch:main date:2023-05-04;php_memcache.dll;php_memcache.dll;https://github.com/nono303/win-build-scripts
/vc15/x64/nts/php-8.3.x_memcache.dll;24/11/2023 17:19;64;ltcg;;14.16;8.2.0.0;8.2;8.2.0.0;php-8.3.x_memcache.pdb;OK;OK;php:php_memcache; ;arch:x64 vcver:14.16[vc15] php-src:8.3 build:nts commit:972b554 branch:main date:2023-05-04;php_memcache.dll;php_memcache.dll;https://github.com/nono303/win-build-scripts
/vc15/x64/ts/avx/php-7.1.x_memcache.dll;14/11/2020 19:31;64;ltcg;;14.16;4.0.5.2;7.1;4.0.5.2-4fdcbf9;php-7.1.x_memcache.pdb;OK;KO;pecl-memcache x64-avx ts [vc15];The PHP Group;NON_BLOCKING_IO_php7 - 4fdcbf9 (2020-09-24);php_memcache.dll;php_memcache.dll;https://github.com/nono303/PHP-memcache-dll
/vc15/x64/ts/avx/php-7.2.x_memcache.dll;06/12/2020 19:17;64;ltcg;;14.16;8.0.0.0;7.2;8.0-36d7181;php-7.2.x_memcache.pdb;OK;KO;pecl-memcache x64-avx ts [vc15];The PHP Group;NON_BLOCKING_IO_php8 - 36d7181 (2020-12-06);php_memcache.dll;php_memcache.dll;https://github.com/nono303/PHP-memcache-dll
/vc15/x64/ts/avx/php-7.3.x_memcache.dll;06/12/2020 19:09;64;ltcg;avx (209);14.16;8.0.0.0;7.3;8.0-36d7181;php-7.3.x_memcache.pdb;OK;KO;pecl-memcache x64-avx ts [vc15];The PHP Group;NON_BLOCKING_IO_php8 - 36d7181 (2020-12-06);php_memcache.dll;php_memcache.dll;https://github.com/nono303/PHP-memcache-dll
/vc15/x64/ts/avx/php-7.4.x_memcache.dll;06/12/2020 19:01;64;ltcg;avx (206);14.16;8.0.0.0;7.4;8.0-36d7181;php-7.4.x_memcache.pdb;OK;KO;pecl-memcache x64-avx ts [vc15];The PHP Group;NON_BLOCKING_IO_php8 - 36d7181 (2020-12-06);php_memcache.dll;php_memcache.dll;https://github.com/nono303/PHP-memcache-dll
/vc15/x64/ts/avx/php-8.0.x_memcache.dll;22/09/2022 22:49;64;ltcg;avx (204);14.16;8.0.1.0;8.0.1;8.0.1;php-8.0.x_memcache.pdb;OK;OK;php:php_memcache; ;arch:x64-avx vcver:14.16[vc15] commit:96910ce tag:8.0.1 branch:NON_BLOCKING_IO_php8 date:2022-07-29 php:8.0 build:ts;php_memcache.dll;php_memcache.dll;https://github.com/nono303/win-build-scripts
/vc15/x64/ts/avx/php-8.1.x_memcache.dll;22/09/2022 22:17;64;ltcg;avx (203);14.16;8.0.1.0;8.0.1;8.0.1;php-8.1.x_memcache.pdb;OK;OK;php:php_memcache; ;arch:x64-avx vcver:14.16[vc15] commit:96910ce tag:8.0.1 branch:NON_BLOCKING_IO_php8 date:2022-07-29 php:8.1 build:ts;php_memcache.dll;php_memcache.dll;https://github.com/nono303/win-build-scripts
/vc15/x64/ts/avx/php-8.2.x_memcache.dll;24/11/2023 16:59;64;ltcg;avx (218);14.16;8.2.0.0;8.2;8.2.0.0;php-8.2.x_memcache.pdb;OK;OK;php:php_memcache; ;arch:x64-avx vcver:14.16[vc15] php-src:8.2 build:ts commit:972b554 branch:main date:2023-05-04;php_memcache.dll;php_memcache.dll;https://github.com/nono303/win-build-scripts
/vc15/x64/ts/avx/php-8.3.x_memcache.dll;24/11/2023 17:18;64;ltcg;avx (218);14.16;8.2.0.0;8.2;8.2.0.0;php-8.3.x_memcache.pdb;OK;OK;php:php_memcache; ;arch:x64-avx vcver:14.16[vc15] php-src:8.3 build:ts commit:972b554 branch:main date:2023-05-04;php_memcache.dll;php_memcache.dll;https://github.com/nono303/win-build-scripts
/vc15/x64/ts/php-7.1.x_memcache.dll;14/11/2020 19:32;64;ltcg;;14.16;4.0.5.2;7.1;4.0.5.2-4fdcbf9;php-7.1.x_memcache.pdb;OK;KO;pecl-memcache x64 ts [vc15];The PHP Group;NON_BLOCKING_IO_php7 - 4fdcbf9 (2020-09-24);php_memcache.dll;php_memcache.dll;https://github.com/nono303/PHP-memcache-dll
/vc15/x64/ts/php-7.2.x_memcache.dll;06/12/2020 19:18;64;ltcg;;14.16;8.0.0.0;7.2;8.0-36d7181;php-7.2.x_memcache.pdb;OK;KO;pecl-memcache x64 ts [vc15];The PHP Group;NON_BLOCKING_IO_php8 - 36d7181 (2020-12-06);php_memcache.dll;php_memcache.dll;https://github.com/nono303/PHP-memcache-dll
/vc15/x64/ts/php-7.3.x_memcache.dll;06/12/2020 19:10;64;ltcg;;14.16;8.0.0.0;7.3;8.0-36d7181;php-7.3.x_memcache.pdb;OK;KO;pecl-memcache x64 ts [vc15];The PHP Group;NON_BLOCKING_IO_php8 - 36d7181 (2020-12-06);php_memcache.dll;php_memcache.dll;https://github.com/nono303/PHP-memcache-dll
/vc15/x64/ts/php-7.4.x_memcache.dll;06/12/2020 19:02;64;ltcg;;14.16;8.0.0.0;7.4;8.0-36d7181;php-7.4.x_memcache.pdb;OK;KO;pecl-memcache x64 ts [vc15];The PHP Group;NON_BLOCKING_IO_php8 - 36d7181 (2020-12-06);php_memcache.dll;php_memcache.dll;https://github.com/nono303/PHP-memcache-dll
/vc15/x64/ts/php-8.0.x_memcache.dll;22/09/2022 22:51;64;ltcg;;14.16;8.0.1.0;8.0.1;8.0.1;php-8.0.x_memcache.pdb;OK;OK;php:php_memcache; ;arch:x64 vcver:14.16[vc15] commit:96910ce tag:8.0.1 branch:NON_BLOCKING_IO_php8 date:2022-07-29 php:8.0 build:ts;php_memcache.dll;php_memcache.dll;https://github.com/nono303/win-build-scripts
/vc15/x64/ts/php-8.1.x_memcache.dll;22/09/2022 22:17;64;ltcg;;14.16;8.0.1.0;8.0.1;8.0.1;php-8.1.x_memcache.pdb;OK;OK;php:php_memcache; ;arch:x64 vcver:14.16[vc15] commit:96910ce tag:8.0.1 branch:NON_BLOCKING_IO_php8 date:2022-07-29 php:8.1 build:ts;php_memcache.dll;php_memcache.dll;https://github.com/nono303/win-build-scripts
/vc15/x64/ts/php-8.2.x_memcache.dll;24/11/2023 17:00;64;ltcg;;14.16;8.2.0.0;8.2;8.2.0.0;php-8.2.x_memcache.pdb;OK;OK;php:php_memcache; ;arch:x64 vcver:14.16[vc15] php-src:8.2 build:ts commit:972b554 branch:main date:2023-05-04;php_memcache.dll;php_memcache.dll;https://github.com/nono303/win-build-scripts
/vc15/x64/ts/php-8.3.x_memcache.dll;24/11/2023 17:19;64;ltcg;;14.16;8.2.0.0;8.2;8.2.0.0;php-8.3.x_memcache.pdb;OK;OK;php:php_memcache; ;arch:x64 vcver:14.16[vc15] php-src:8.3 build:ts commit:972b554 branch:main date:2023-05-04;php_memcache.dll;php_memcache.dll;https://github.com/nono303/win-build-scripts
/vc15/x86/nts/avx/php-7.1.x_memcache.dll;14/11/2020 19:32;32;ltcg;;14.16;4.0.5.2;7.1;4.0.5.2-4fdcbf9;php-7.1.x_memcache.pdb;OK;KO;pecl-memcache x86-avx nts [vc15];The PHP Group;NON_BLOCKING_IO_php7 - 4fdcbf9 (2020-09-24);php_memcache.dll;php_memcache.dll;https://github.com/nono303/PHP-memcache-dll
/vc15/x86/nts/avx/php-7.2.x_memcache.dll;06/12/2020 19:19;32;ltcg;;14.16;8.0.0.0;7.2;8.0-36d7181;php-7.2.x_memcache.pdb;OK;KO;pecl-memcache x86-avx nts [vc15];The PHP Group;NON_BLOCKING_IO_php8 - 36d7181 (2020-12-06);php_memcache.dll;php_memcache.dll;https://github.com/nono303/PHP-memcache-dll
/vc15/x86/nts/avx/php-7.3.x_memcache.dll;06/12/2020 19:11;32;ltcg;avx (220);14.16;8.0.0.0;7.3;8.0-36d7181;php-7.3.x_memcache.pdb;OK;KO;pecl-memcache x86-avx nts [vc15];The PHP Group;NON_BLOCKING_IO_php8 - 36d7181 (2020-12-06);php_memcache.dll;php_memcache.dll;https://github.com/nono303/PHP-memcache-dll
/vc15/x86/nts/avx/php-7.4.x_memcache.dll;06/12/2020 19:02;32;ltcg;avx (220);14.16;8.0.0.0;7.4;8.0-36d7181;php-7.4.x_memcache.pdb;OK;KO;pecl-memcache x86-avx nts [vc15];The PHP Group;NON_BLOCKING_IO_php8 - 36d7181 (2020-12-06);php_memcache.dll;php_memcache.dll;https://github.com/nono303/PHP-memcache-dll
/vc15/x86/nts/avx/php-8.0.x_memcache.dll;22/09/2022 22:51;32;ltcg;avx (218);14.16;8.0.1.0;8.0.1;8.0.1;php-8.0.x_memcache.pdb;OK;OK;php:php_memcache; ;arch:x86-avx vcver:14.16[vc15] commit:96910ce tag:8.0.1 branch:NON_BLOCKING_IO_php8 date:2022-07-29 php:8.0 build:nts;php_memcache.dll;php_memcache.dll;https://github.com/nono303/win-build-scripts
/vc15/x86/nts/avx/php-8.1.x_memcache.dll;22/09/2022 22:05;32;ltcg;avx (214);14.16;8.0.1.0;8.0.1;8.0.1;php-8.1.x_memcache.pdb;OK;OK;php:php_memcache; ;arch:x86-avx vcver:14.16[vc15] commit:96910ce tag:8.0.1 branch:NON_BLOCKING_IO_php8 date:2022-07-29 php:8.1 build:nts;php_memcache.dll;php_memcache.dll;https://github.com/nono303/win-build-scripts
/vc15/x86/nts/avx/php-8.2.x_memcache.dll;24/11/2023 17:01;32;ltcg;avx (232);14.16;8.2.0.0;8.2;8.2.0.0;php-8.2.x_memcache.pdb;OK;OK;php:php_memcache; ;arch:x86-avx vcver:14.16[vc15] php-src:8.2 build:nts commit:972b554 branch:main date:2023-05-04;php_memcache.dll;php_memcache.dll;https://github.com/nono303/win-build-scripts
/vc15/x86/nts/avx/php-8.3.x_memcache.dll;24/11/2023 17:20;32;ltcg;avx (232);14.16;8.2.0.0;8.2;8.2.0.0;php-8.3.x_memcache.pdb;OK;OK;php:php_memcache; ;arch:x86-avx vcver:14.16[vc15] php-src:8.3 build:nts commit:972b554 branch:main date:2023-05-04;php_memcache.dll;php_memcache.dll;https://github.com/nono303/win-build-scripts
/vc15/x86/nts/php-7.1.x_memcache.dll;14/11/2020 19:33;32;ltcg;;14.16;4.0.5.2;7.1;4.0.5.2-4fdcbf9;php-7.1.x_memcache.pdb;OK;KO;pecl-memcache x86 nts [vc15];The PHP Group;NON_BLOCKING_IO_php7 - 4fdcbf9 (2020-09-24);php_memcache.dll;php_memcache.dll;https://github.com/nono303/PHP-memcache-dll
/vc15/x86/nts/php-7.2.x_memcache.dll;06/12/2020 19:20;32;ltcg;;14.16;8.0.0.0;7.2;8.0-36d7181;php-7.2.x_memcache.pdb;OK;KO;pecl-memcache x86 nts [vc15];The PHP Group;NON_BLOCKING_IO_php8 - 36d7181 (2020-12-06);php_memcache.dll;php_memcache.dll;https://github.com/nono303/PHP-memcache-dll
/vc15/x86/nts/php-7.3.x_memcache.dll;06/12/2020 19:11;32;ltcg;;14.16;8.0.0.0;7.3;8.0-36d7181;php-7.3.x_memcache.pdb;OK;KO;pecl-memcache x86 nts [vc15];The PHP Group;NON_BLOCKING_IO_php8 - 36d7181 (2020-12-06);php_memcache.dll;php_memcache.dll;https://github.com/nono303/PHP-memcache-dll
/vc15/x86/nts/php-7.4.x_memcache.dll;06/12/2020 19:03;32;ltcg;;14.16;8.0.0.0;7.4;8.0-36d7181;php-7.4.x_memcache.pdb;OK;KO;pecl-memcache x86 nts [vc15];The PHP Group;NON_BLOCKING_IO_php8 - 36d7181 (2020-12-06);php_memcache.dll;php_memcache.dll;https://github.com/nono303/PHP-memcache-dll
/vc15/x86/nts/php-8.0.x_memcache.dll;22/09/2022 22:52;32;ltcg;;14.16;8.0.1.0;8.0.1;8.0.1;php-8.0.x_memcache.pdb;OK;OK;php:php_memcache; ;arch:x86 vcver:14.16[vc15] commit:96910ce tag:8.0.1 branch:NON_BLOCKING_IO_php8 date:2022-07-29 php:8.0 build:nts;php_memcache.dll;php_memcache.dll;https://github.com/nono303/win-build-scripts
/vc15/x86/nts/php-8.1.x_memcache.dll;22/09/2022 22:06;32;ltcg;;14.16;8.0.1.0;8.0.1;8.0.1;php-8.1.x_memcache.pdb;OK;OK;php:php_memcache; ;arch:x86 vcver:14.16[vc15] commit:96910ce tag:8.0.1 branch:NON_BLOCKING_IO_php8 date:2022-07-29 php:8.1 build:nts;php_memcache.dll;php_memcache.dll;https://github.com/nono303/win-build-scripts
/vc15/x86/nts/php-8.2.x_memcache.dll;24/11/2023 17:02;32;ltcg;;14.16;8.2.0.0;8.2;8.2.0.0;php-8.2.x_memcache.pdb;OK;OK;php:php_memcache; ;arch:x86 vcver:14.16[vc15] php-src:8.2 build:nts commit:972b554 branch:main date:2023-05-04;php_memcache.dll;php_memcache.dll;https://github.com/nono303/win-build-scripts
/vc15/x86/nts/php-8.3.x_memcache.dll;24/11/2023 17:21;32;ltcg;;14.16;8.2.0.0;8.2;8.2.0.0;php-8.3.x_memcache.pdb;OK;OK;php:php_memcache; ;arch:x86 vcver:14.16[vc15] php-src:8.3 build:nts commit:972b554 branch:main date:2023-05-04;php_memcache.dll;php_memcache.dll;https://github.com/nono303/win-build-scripts
/vc15/x86/ts/avx/php-7.1.x_memcache.dll;14/11/2020 19:33;32;ltcg;;14.16;4.0.5.2;7.1;4.0.5.2-4fdcbf9;php-7.1.x_memcache.pdb;OK;KO;pecl-memcache x86-avx ts [vc15];The PHP Group;NON_BLOCKING_IO_php7 - 4fdcbf9 (2020-09-24);php_memcache.dll;php_memcache.dll;https://github.com/nono303/PHP-memcache-dll
/vc15/x86/ts/avx/php-7.2.x_memcache.dll;06/12/2020 19:19;32;ltcg;;14.16;8.0.0.0;7.2;8.0-36d7181;php-7.2.x_memcache.pdb;OK;KO;pecl-memcache x86-avx ts [vc15];The PHP Group;NON_BLOCKING_IO_php8 - 36d7181 (2020-12-06);php_memcache.dll;php_memcache.dll;https://github.com/nono303/PHP-memcache-dll
/vc15/x86/ts/avx/php-7.3.x_memcache.dll;06/12/2020 19:11;32;ltcg;avx (222);14.16;8.0.0.0;7.3;8.0-36d7181;php-7.3.x_memcache.pdb;OK;KO;pecl-memcache x86-avx ts [vc15];The PHP Group;NON_BLOCKING_IO_php8 - 36d7181 (2020-12-06);php_memcache.dll;php_memcache.dll;https://github.com/nono303/PHP-memcache-dll
/vc15/x86/ts/avx/php-7.4.x_memcache.dll;06/12/2020 19:03;32;ltcg;avx (220);14.16;8.0.0.0;7.4;8.0-36d7181;php-7.4.x_memcache.pdb;OK;KO;pecl-memcache x86-avx ts [vc15];The PHP Group;NON_BLOCKING_IO_php8 - 36d7181 (2020-12-06);php_memcache.dll;php_memcache.dll;https://github.com/nono303/PHP-memcache-dll
/vc15/x86/ts/avx/php-8.0.x_memcache.dll;22/09/2022 22:52;32;ltcg;avx (218);14.16;8.0.1.0;8.0.1;8.0.1;php-8.0.x_memcache.pdb;OK;OK;php:php_memcache; ;arch:x86-avx vcver:14.16[vc15] commit:96910ce tag:8.0.1 branch:NON_BLOCKING_IO_php8 date:2022-07-29 php:8.0 build:ts;php_memcache.dll;php_memcache.dll;https://github.com/nono303/win-build-scripts
/vc15/x86/ts/avx/php-8.1.x_memcache.dll;22/09/2022 22:18;32;ltcg;avx (214);14.16;8.0.1.0;8.0.1;8.0.1;php-8.1.x_memcache.pdb;OK;OK;php:php_memcache; ;arch:x86-avx vcver:14.16[vc15] commit:96910ce tag:8.0.1 branch:NON_BLOCKING_IO_php8 date:2022-07-29 php:8.1 build:ts;php_memcache.dll;php_memcache.dll;https://github.com/nono303/win-build-scripts
/vc15/x86/ts/avx/php-8.2.x_memcache.dll;24/11/2023 17:01;32;ltcg;avx (232);14.16;8.2.0.0;8.2;8.2.0.0;php-8.2.x_memcache.pdb;OK;OK;php:php_memcache; ;arch:x86-avx vcver:14.16[vc15] php-src:8.2 build:ts commit:972b554 branch:main date:2023-05-04;php_memcache.dll;php_memcache.dll;https://github.com/nono303/win-build-scripts
/vc15/x86/ts/avx/php-8.3.x_memcache.dll;24/11/2023 17:20;32;ltcg;avx (232);14.16;8.2.0.0;8.2;8.2.0.0;php-8.3.x_memcache.pdb;OK;OK;php:php_memcache; ;arch:x86-avx vcver:14.16[vc15] php-src:8.3 build:ts commit:972b554 branch:main date:2023-05-04;php_memcache.dll;php_memcache.dll;https://github.com/nono303/win-build-scripts
/vc15/x86/ts/php-7.1.x_memcache.dll;14/11/2020 19:34;32;ltcg;;14.16;4.0.5.2;7.1;4.0.5.2-4fdcbf9;php-7.1.x_memcache.pdb;OK;KO;pecl-memcache x86 ts [vc15];The PHP Group;NON_BLOCKING_IO_php7 - 4fdcbf9 (2020-09-24);php_memcache.dll;php_memcache.dll;https://github.com/nono303/PHP-memcache-dll
/vc15/x86/ts/php-7.2.x_memcache.dll;06/12/2020 19:20;32;ltcg;;14.16;8.0.0.0;7.2;8.0-36d7181;php-7.2.x_memcache.pdb;OK;KO;pecl-memcache x86 ts [vc15];The PHP Group;NON_BLOCKING_IO_php8 - 36d7181 (2020-12-06);php_memcache.dll;php_memcache.dll;https://github.com/nono303/PHP-memcache-dll
/vc15/x86/ts/php-7.3.x_memcache.dll;06/12/2020 19:12;32;ltcg;;14.16;8.0.0.0;7.3;8.0-36d7181;php-7.3.x_memcache.pdb;OK;KO;pecl-memcache x86 ts [vc15];The PHP Group;NON_BLOCKING_IO_php8 - 36d7181 (2020-12-06);php_memcache.dll;php_memcache.dll;https://github.com/nono303/PHP-memcache-dll
/vc15/x86/ts/php-7.4.x_memcache.dll;06/12/2020 19:04;32;ltcg;;14.16;8.0.0.0;7.4;8.0-36d7181;php-7.4.x_memcache.pdb;OK;KO;pecl-memcache x86 ts [vc15];The PHP Group;NON_BLOCKING_IO_php8 - 36d7181 (2020-12-06);php_memcache.dll;php_memcache.dll;https://github.com/nono303/PHP-memcache-dll
/vc15/x86/ts/php-8.0.x_memcache.dll;22/09/2022 22:53;32;ltcg;;14.16;8.0.1.0;8.0.1;8.0.1;php-8.0.x_memcache.pdb;OK;OK;php:php_memcache; ;arch:x86 vcver:14.16[vc15] commit:96910ce tag:8.0.1 branch:NON_BLOCKING_IO_php8 date:2022-07-29 php:8.0 build:ts;php_memcache.dll;php_memcache.dll;https://github.com/nono303/win-build-scripts
/vc15/x86/ts/php-8.1.x_memcache.dll;22/09/2022 22:19;32;ltcg;;14.16;8.0.1.0;8.0.1;8.0.1;php-8.1.x_memcache.pdb;OK;OK;php:php_memcache; ;arch:x86 vcver:14.16[vc15] commit:96910ce tag:8.0.1 branch:NON_BLOCKING_IO_php8 date:2022-07-29 php:8.1 build:ts;php_memcache.dll;php_memcache.dll;https://github.com/nono303/win-build-scripts
/vc15/x86/ts/php-8.2.x_memcache.dll;24/11/2023 17:03;32;ltcg;;14.16;8.2.0.0;8.2;8.2.0.0;php-8.2.x_memcache.pdb;OK;OK;php:php_memcache; ;arch:x86 vcver:14.16[vc15] php-src:8.2 build:ts commit:972b554 branch:main date:2023-05-04;php_memcache.dll;php_memcache.dll;https://github.com/nono303/win-build-scripts
/vc15/x86/ts/php-8.3.x_memcache.dll;24/11/2023 17:22;32;ltcg;;14.16;8.2.0.0;8.2;8.2.0.0;php-8.3.x_memcache.pdb;OK;OK;php:php_memcache; ;arch:x86 vcver:14.16[vc15] php-src:8.3 build:ts commit:972b554 branch:main date:2023-05-04;php_memcache.dll;php_memcache.dll;https://github.com/nono303/win-build-scripts
